time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
9720,1461.4570942999117,1461.4570942999117,1.6131052986486204E-17,100.05973923404129
9750,1420.6668165489239,1420.6668165489239,1.2052549256993981E-17,100.06082108705962
9780,1380.222546789305,1380.222546789305,8.997138742596818E-18,100.06132896044284
9810,1340.1655215292506,1340.1655215292506,6.710258113339363E-18,100.06218058090543
9840,1300.4906352378189,1300.4906352378189,5.000153532281262E-18,100.06236832530269
9870,1261.2498485694327,1261.2498485694327,3.7225175996036155E-18,100.06349974208734
9900,1222.4446254403176,1222.4446254403176,2.7688503636581055E-18,100.06434648467769
9930,1183.829878249839,1183.829878249839,2.0576500664249286E-18,100.06494335962338
9960,1145.875469108225,1145.875469108225,1.527751989406972E-18,100.06510478033533
9990,1108.524840949448,1108.524840949448,1.1332963870122893E-18,100.06632116483715
10020,1071.8286809354115,1071.8286809354115,8.399307046661579E-19,100.06698926002568
10050,1035.7677917854107,1035.7677917854107,6.219460566502904E-19,100.06789834239235
10080,1000.3708329389356,1000.3708329389356,4.601201864696582E-19,100.06822507252004
10110,965.7004961549316,965.7004961549316,3.400941514816511E-19,100.06924939214458
10140,931.7755424852246,931.7755424852246,2.5115183064087537E-19,100.0695753800666
10170,898.6028930732944,898.6028930732944,1.8530316661137054E-19,100.07027187954537
10200,866.2660939667982,866.2660939667982,1.3659620775699961E-19,100.07052555760322
10230,834.768773362497,834.768773362497,1.0060133704326629E-19,100.07055704603083
10260,804.1053402011313,804.1053402011313,7.402495842327719E-20,100.07103496205973
10290,774.3683435465283,774.3683435465283,5.442042145602926E-20,100.07106936761495
10320,745.5642079556678,745.5642079556678,3.997191351359677E-20,100.07300371385841
10350,717.6556857320318,717.6556857320318,2.933305436133879E-20,100.0733310361395
10380,690.5125383470635,690.5125383470635,2.1506460717589245E-20,100.07343962699233
10410,664.4042288052682,664.4042288052682,1.575396634925681E-20,100.07458600009126
10440,639.3633538099141,639.3633538099141,1.1529758010591712E-20,100.07508439663529
10470,615.3677300078808,615.3677300078808,8.430625191925729E-21,100.07601241260706
10500,592.3181758885988,592.3181758885988,6.158978421232052E-21,100.0773029076082
10530,570.2643387916714,570.2643387916714,4.49538502276306E-21,100.07732540919385
10560,549.2910823559903,549.2910823559903,3.2781922377969442E-21,100.0786726198263
10590,529.3578557616352,529.3578557616352,2.3884230437862034E-21,100.07880691045445
10620,510.4933056877891,510.4933056877891,1.7385908900561554E-21,100.07925103504995
10650,492.8140706226249,492.8140706226249,1.2644243735504752E-21,100.07960650508879
10680,476.3649640658714,476.3649640658714,9.187505891139564E-22,100.08056208585671
10710,461.1609307268213,461.1609307268213,6.6697831611686085E-22,100.08108310885744
10740,447.28171751157214,447.28171751157214,4.837657440864382E-22,100.08146864301263
10770,434.8089825109239,434.8089825109239,3.5056440944087445E-22,100.0826975050722
